company_name,job_title,location,est_salary,rating,sector,industry,job_age,year_founded,job_description
Spotify,"Data Scientist, Spotify Advertising","New York, NY",$78K - $182K (Glassdoor est.),4.2,Information Technology,Internet & Web Services,30d+,2006,"Data, Research & Insights
Data Science
At Spotify Advertising, our part of that mission is to build the next generation advertising platform for audio which can scale the freemium experience for hundreds of millions of fans and tens of thousands of advertisers. This scale brings unique challenges as well as tremendous opportunities to define the insights product for our business.
Location
New York or Remote Americas
Job type"
NTT DATA,Data Scientist,"Woonsocket, RI",Employer Provided Salary:$70 Per Hour,3.8,Information Technology,Information Technology Support Services,24h,1967,"NTT Data is assisting our healthcare client seeking a Hybrid Data Scientist. The position is hybrid located out of Woonsocket, RI. Contract role.
*COVID-19 Vaccine required for this role since it is partial in office.
Start Date: ASAP
Duration: Through end of 2022
Equipment: Provided
Schedule: M-F (8:30a-5p)
Pay: $70.42 per hour
PURPOSE OF THE JOB
As a FS Marketing and Growth Analytics Data Scientist, you will focus on understanding of our clients stores performance. Key responsibilities will include measuring business impact of Front Store operational initiatives. The ideal candidate will have a strong analytics background with experience leveraging SQL to solve business problems, mining large data sets and using control selection tool to build control groups, develop statistical models and assessing the values of marketing programs. Demonstrated self-direction and applied critical and creative thinking to business challenges is expected."
The Coca-Cola Company,Data Scientist 2,"Plano, TX",$82K - $164K (Glassdoor est.),4.0,Manufacturing,Food & Beverage Manufacturing,3d,1886,"About Enterprise Data and Analytics:
The Data and Analytics (DnA) Services organization is transforming how Coca-Cola leverages data across the entire company. We passionately develop and scale leading data capabilities for Coca-Cola, driving growth and delighting consumers through innovation and agile, insight-led decision making.
Job Description Summary:
You will play a critical role in the growing Data Science Services team in DnA, where you will be responsible for developing advanced analytics and machine learning models across domains including: marketing, supply chain optimization, forecasting, digital transformation, and food and beverage science. You will work closely with IT partners, process owners and business stakeholders to deliver impactful data science solutions at significant scale. You will have the opportunity to do your best work every day and deliver disruptive innovation by tapping into new datasets, leveraging the latest cloud technologies, and being supported by a robust analytics and IT organization."
Roche,Data Scientist - (Remote),"Indianapolis, IN",Employer Provided Salary:$90K - $135K,4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,19d,1896,"This is a remote opportunity.
The Opportunity:
This is an exciting time to join Roche Diagnostics! You will help Roche continue to progress through the data maturity model using data science methods and principles to generate deeper insights from a great variety of internal and external data sources. To achieve this, you will identify needs, lead the design and implementation of analytical solutions, provide advice and consulting support to our key business stakeholders and demonstrate value by executing proof-of-concept initiatives and prototyping analytical solutions to answer business questions.

As a Data Scientist, you will position data science as a key competency within the enterprise and be responsible for creating value from data assets using advanced analytics capabilities including data science, machine learning, and artificial intelligence methodologies to identify critical business risk and opportunities for Roche.


Individual contributor"
Durham County,DATA SCIENTIST,"Durham, NC",Employer Provided Salary:$65K - $117K,3.1,Government & Public Administration,Municipal Agencies,30d+,Government,"Durham County Government employs approximately 1,900 employees that work towards providing needed services throughout the community. With a wide array of services, Durham County Government is at the heart of a rapidly growing and diverse area offering residents, employees and visitors exciting opportunities to live, work, grow and play.

DEPARTMENT:
Fire Marshal/Emergency Mgmt

DATE POSTED:
July 12, 2021"
Yelp,Data Scientist (Remote),Remote,Employer Provided Salary:$88K - $220K,3.5,Information Technology,Internet & Web Services,30d+,2004,"At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. Our teams sit in Yelp’s central product management organization and work directly with cross-functional leaders to understand quantitatively how our products are performing and where the largest opportunities are. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This opportunity is fully remote and does not require you to be located in any particular state within the US. We welcome applicants from throughout the US."
CrowdStrike,HR Analytics – Data Scientist (Remote),Remote,Employer Provided Salary:$97K - $146K,4.4,Information Technology,Enterprise Software & Network Solutions,24h,2011,"#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.
About the role:
The HR Analytics - Data Scientist will serve as a key player in the transformation of our HR Data strategy. This will include creating data connections/integrations between core systems of record, and then using this data to find insights, tell stories, and inform the HR strategy and Senior Leaders. The HR Data Scientist will report to the Head of HR Data & Analytics and act in a versatile capacity to build out a data warehouse, create analytical models/visualizations, and partner with stakeholders to track progress towards/deliver against company-wide objectives.
CrowdStrike, Inc. is committed to fair and equitable compensation practices. For applicants in Colorado the salary range is $97,016 - $145,524 + bonus + equity + benefits. A candidate’s salary is determined by various factors including, but not limited to, relevant work experience, skills, and certifications. The salary range may differ in other states."
BDSA,Data Scientist (Junior),"Louisville, CO",Employer Provided Salary:$90K - $110K,1.4,-1.0,-1.0,30d+,Company - Private,"Job Summary: The Analytics team empowers BDSA through the development of syndicated market research products based on various datasets. As a Junior Data Scientist, you will work on highly complex projects supporting the Product and Professional Services teams with data wrangling, data cleaning, and data reporting tools and techniques.
Your day-to-day activities will involve using heterogeneous datasets to derive insights and automation. For example, combining public weather data with proprietary sales data to identify trends and build forecasts, or using ML/AI tools to parse large datasets and deduplicate data.
QC/QA processes are critical elements of this work and you will spend substantial time automating and managing automated QC/QA systems. The datasets grow substantially day by day and automation of the QC/QA environment is a top priority.
This is a fast-paced environment with a variety of challenges, many of which are driven by external factors. If you're excited to work on new projects, constantly find ways to overcome obstacles, and find joy in solving problems than this may be the job for you. As a junior data scientist, you'll work under the direction of senior team members and be expected to rapidly learn new tools and techniques. While work will be guided by more seasoned team members, your intellect, technical skills, and creativity will be highly valued and there is room for advancement."
sourcemantra,Data Scientist,"Redmond, WA",Employer Provided Salary:$63K - $123K,3.7,Financial Services,Accounting & Tax,27d,Company - Public,"Hi,
Hope you are doing good!!!
Role: Data Scientist
Location: Redmond,WA
Duration: Long Term
We are looking for a dedicated Data Scientist to support ML Ops, build ML models for efficient pattern, or anomaly detection for support issues.
? Building tools to automate data collection
? Searching through large data sets for usable information
? Correlating similar data to find actionable results
? Develop and assess AI algorithms, based on large and complex data sets, across multiple projects and product lines, to meet customer requirements.
? Utilize Machine Learning and NLP techniques to drive innovation
? Creating reports and presentations for business uses
? Development and assessment of high-quality AI-based solutions that take account of aspects such as transparency, accountability and trustworthiness."
The Voleon Group,Data Scientist,Remote,Employer Provided Salary:$120K,-1.0,-1.0,-1.0,24h,-1.0,"Please apply directly via: https://bit.ly/3lZdZXd
Voleon is a technology company that applies state-of-the-art machine learning techniques to real-world problems in finance. For more than a decade, we have led our industry and worked at the frontier of applying machine learning to investment management. We have become a multibillion-dollar asset manager, and we have ambitious goals for the future.
Your colleagues will include internationally recognized experts in machine learning research as well as highly experienced technology and finance professionals. The people who shape our company come from other backgrounds, too, including concert music performance, humanitarian aid, opera singing, sports writing, and BMX racing. You will be part of a team that loves to succeed together.
In addition to our enriching and collegial working environment, we offer highly competitive compensation and benefits packages, technology talks by our experts, a beautiful modern office, daily catered lunches, and more.
The Voleon Group is forming a new team to help advance our data-driven investment initiatives. As a Data Scientist, you will be responsible for harvesting insights from a complex array of data. Your role will involve data curation, analysis, interpretation, visualization, and communicating your findings to leadership.
Founded in 2007 by two leading scientists, Voleon supports a culture of curiosity and creativity. We do not silo our teams, and you will enjoy a healthy work-life balance while tackling complex problems in a collegial environment. This role makes a difference: as a machine learning company, data insights are essential to our business."
