CompanyName,Location,JobTitle,JobSalary,JobDescription
"LG Energy Solution Michigan, Inc.
3.2","Westborough, MA",Data Scientist,$66K - $120K (Glassdoor est.),"LG Energy Solution (LGES) Vertech is a technology leader in Li-ion based battery energy storage systems (BESS). We provide customizable clean energy storage solutions for renewables integration, commercial & industrial application, and utility-scale installations. LGES-Vertech plays a key role in EV mobility revolution that’s underway. LGES -Vertech is a vertically integrated company providing batteries, power-conversion system, system integration, and operations. LGES-Vertech has installed and maintained services for 1.2+GWHr of BESS in 180+ projects worldwide. Our proprietary AEROS® Energy Management Suite houses diverse data-related services such as data warehousing, remote monitoring, data visualization, and predictive maintenance.
The Role
LGES-Vertech is looking for motivated Data Scientist to join their Data Science and Data Analysis group and be part of renewable energy revolution and be pioneer in creating data science products for the energy systems. The individual in this position would be responsible for solving some of the most complex and challenging issues in BESS products. The data scientist will have the opportunity to innovate new algorithms, expand our suite of data-driven products, and apply data science techniques to provide BESS which is safe, highly available, and efficiently interoperate in the energy market.









Show More"
"WorkCog
4.4","California City, CA",Data Scientist,Employer Provided Salary:$40 - $60 Per Hour,"Job Title: Data Scientist
Responsibilities:
REQUIRED
Comfortable building and maintaining data pipelines using SQL and Python.
Storage of Machine Learning flow models, data, and parameters
Translating business requirements into technical solutions
Track record of partnering with Data Scientists to deliver on business goals
Bonus Points











Show More"
"Apisero
4.3",Remote,Data Scientist,Employer Provided Salary:$70 - $75 Per Hour,"We're Hiring Data scientists for our Internal client's projects
Contract - Remote
- A/b testing
- Statistics
- Python, R Programming
- Timer series and Forecasting
Job Type: Contract
Salary: $70.00 - $75.00 per hour
Show More"
"ERPMark Inc
4.0",Remote,Data Scientist,Employer Provided Salary:$55 - $65 Per Hour,"Role: Data Scientist
Location: 100% Remote
Duration: Long Term
NOTE: This is a W2 Role.
Experience:
Prefer background in healthcare, retail, or consulting
Heavy exposure
Product analytics, marketing analytics and data science (traditional supervised machine learning is fine, don’t need deep ML
Critical Skills:
SQL
Python
PySpark
Project Information:
The incumbent will provide critical insights to business stakeholders that will guide decisions on service updates and new functionality to accelerate growth. They are looking for a self-motivated analyst with experience performing advanced analytics to solve large problems.
Show More"
Net2Aspire LLC,Remote,Jr. Data Scientist,Employer Provided Salary:$75K - $90K," Apply Statistical and Machine Learning methods to specific business problems and data.
 Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.
 Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics
 Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.
 Design, develop, evaluate, and release highly innovative models elevate the customer experience and track impact over time
Show More"
"Nextiles, Inc.","Brooklyn, NY",Data Scientist,Employer Provided Salary:$125K,"Data Scientist
Company Overview
Nextiles is a venture-backed materials science company focused on creating next-generation fabric-based technologies to better understand human movement. By merging flexible electronics with patented sewing technology, Nextiles delivers seamless and comfortable experiences to better quantify human performance.
Our core value proposition is the ability to produce biomechanical and biometric data from form-fitted and tailored products which leverage our expertise in materials science. Nextiles currently works with partners in elite sports, ranging from training facilities for athletes to professional leagues such as the NBA. Nextiles is backed by the National Science Foundation and the military. Nextiles is building a cohesive hardware / software ecosystem leveraging machine learning to transform Nextiles’ sensor data into actionable insights for clients’ use to better understand training and optimize athletic performance.

Show More"
PROLIM Corporation,"Redmond, WA",Data Scientist,Employer Provided Salary:$90 Per Hour,"Title: Data Scientist IV
Job ID: PLM228296
Summary
Looking for a researcher with a background in human-computer interaction, neuroscience, cognitive science, and/or psychology to contribute to our team’s user state modeling research.
Job Responsibilities:
Collaborate with researchers and engineers to build AR/VR experiments that explore novel technologies, interface concepts, and models.
Explore and train machine learning models.
Show More"
"Altak Group
2.0",Remote,Data Scientist,Employer Provided Salary:$65 - $70 Per Hour,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve the client's systems. In this role, you should be highly analytical with a knack for analysis, math, and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine learning and research.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake to preprocess of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Show More"
"FiscalNote
3.7",Remote,Data Scientist,Employer Provided Salary:$65 - $70 Per Hour,"About this Position
Curate, part of FiscalNote, is seeking to hire a full-time Data Scientist. As a Data Scientist, you will be at the core of our advanced analytics where you will be identifying, designing, and implementing machine learning-based solutions to analyze and model our ever-increasing database of millions of municipal documents. You will be working on a wide range of problems that include data processing, training and evaluating our machine learning models, utilizing state-of-the-art machine learning solutions, and much more. You’ll lead the way in all stages of researching and developing insightful and actionable models and analysis, looking into the future, and becoming an internal and external expert. You will be part of the team that is responsible for the success of machine learning-powered automation at Curate, and you will contribute to actionable insights and build automated systems that deliver our business artificial intelligence (AI) solutions to our customers.

About the Curate Team
Curate helps businesses efficiently monitor risk and find opportunities through municipal data - at scale. We scan thousands of local government websites looking for meeting minutes and agendas where decisions are made that impact our business customers. Based in Madison, WI the 25-member Curate team works collaboratively to ensure we’re always improving the product for our customers.









Show More"
MIDSYS INC,Remote,Data Scientist,Employer Provided Salary:$68 - $72 Per Hour,"Job Description :
You will help design and build systems which seek insights into underlying patterns in very large data sets in the intellectual property industry. Our goal is to assist lawyers, field specialists, and other researchers in retrieving relevant data quickly and accurately. Our team focuses on new technologies, which means you will have the opportunity to act creatively and influentially as we bring novel solutions to our clients.
More specifically, you will collaborate with other engineers to solve search problems in NLP, image categorization, and document classification. Your role will entail appropriate model selection, construction, and training, as well as data preparation, pipeline construction, and testing. It is essential our solutions perform well in real time, so a focus on speed and scalability during inference is a must.
Stack: We use Linux, Python, and various Python packages and Azure Cloud technologies as necessary.
Show More"
"Xtivia Inc
4.4",Remote,Data Scientist,Employer Provided Salary:$70 - $75 Per Hour,"XTIVIA - Data Scientist

Start Date: ASAP
Duration: 6 Months Contract
Location: Remote (occasional travel to New Orleans & Houston)

How you will make a difference
The Data Scientist will be a part of a dynamic and fun environment where you will be responsible for working with stakeholders to identify opportunities for leveraging data to drive business results, build machine learning models that help create unique customer experiences through all phases of development, from design through training, evaluation, validation, and implementation. You will be part of a dynamic culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.













Show More"
BlueSky Technology Solutions,Remote,Data Scientist - 100% Remote,Employer Provided Salary:$150K - $175K,"We have an immediate need for an experienced Data Scientist. This permanent position is 100% remote and offers competitive compensation (that will depend on level of experience) as well as an excellent benefits package.
Target Skills and Experience:
5+ years of Data Analytics experience while working as a Data Scientist.
Strong ability to analyze large amounts of data to discover trends and patterns and build predictive models and machine-learning algorithms to support decision making and quality improvement.
Strong ability to evaluate predictive models, including those developed by vendors or other data scientists, and produce actionable insights, strategies, and recommendations to business challenges.
Healthcare knowledge including hands-on experience working with Healthcare Provider and Patient data for analytics purposes.
Show More"
